SONA ID	Translations number	Original Spanish	Official translation	Machine translation	Learner translation	Edited translation	Closest translation with the same meaning	Notes
14434	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	that's fine	that's fine	And to get it, I have to be very direct. That's fine. I think we can come to an agreement.	
17551	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	she wants to record something	she wants to record something	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
18430	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	i think that we can reach an agreement	i think that we can reach an agreement	And to get it, I have to be very direct .All right. I think that we can reach an agreement.	
15163	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	how much did you pay for the agreement	how much did you pay for the agreement	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
12985	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	very good	very good	And to get it, I have to be very direct .Very good. I think we can come to an agreement.	
15535	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	and to continue we have to decide on	and to continue we have to decide on	And to get it, I have to be very direct .All right. I think we can decide on an agreement.	
17581	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	to get us i need to remember	to get us i need to remember	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
15040	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	we need to come to an agreement	we need to come to an agreement	And to get it, I have to be very direct .All right. I think we need to come to an agreement.	
18298	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	are you well	are you well	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
18574	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	they are sane	they are sane	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
11434	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	and to achieve that you need to be straightforward okay i think we can come to an agreement	and to achieve that you need to be straightforward okay i think we can come to an agreement	And to achieve that, I need to be straightforward .Okay. I think we can reach an agreement.	
18556	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	it's ok i think we can arrive at an agreement	it's ok i think we can arrive at an agreement	And to get it, I have to be very direct .It's okay. I think we can arrive at an agreement.	
18379	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	it's good i agree	it's good i agree	And to get it, I have to be very direct .It's good, I agree. I think we can come to an agreement.	
14599	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	if it is necessary to say agreement	if it is necessary to say agreement	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
16897	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	do not understand		And to get it, I have to be very direct .All right. I think we can come to an agreement.	
18229	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	we need an agreement	we need an agreement	And to get it, I have to be very direct .All right. We need to come to an agreement.	
17803	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	i am well i think	i am well i think	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
17602	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	i cannot follow i am good	i cannot follow i am good	And to get it, I have to be very direct .I'm good. I think we can come to an agreement.	
15997	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	necessary say it agreement	necessary say it agreement	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
11167	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	thats good leather	that's good leather	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
18049	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	advise that's good leather	advise that's good leather	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
15475	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	thirty i am well	thirty i am well	And to get it, I have to be very direct .All right. I think we can come to an agreement.	
17029	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	i didnt understand		And to get it, I have to be very direct .All right. I think we can come to an agreement.	
16261	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	and following something no it's fine	and following something no it's fine	And to get it, I have to be very direct .It's fine. I think we can come to an agreement.	
14284	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	it's ok i want to be in agreement	it's ok i want to be in agreement	And to get it, I have to be very direct .It's okay. I think we can come to an agreement.	
16963	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	it's different clients	it's different clients	And to get it, I have to be very direct .It's fine. I think we can come to an agreement.	
14002	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	we need to find a time	we need to find a time	And to get it, I have to be very direct .It's fine. I think we can come to an agreement.	
